year,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,final_place
2023,Norway,Alessandra,Queen of Kings,English,Pop,Female,1,E Minor,110,36,64,23,10 dB,58,0,10,3,5
2023,Malta,The Busker,Dance (Our Own Party),English,Pop,Male,1,F Minor,103,78,70,82,6 dB,2,0,18,4,
2023,Serbia,Luke Black,Samo mi se spava,"Serbian, English",Pop,Male,1,A Major,103,70,56,11,10 dB,4,2,32,5,24
2023,Latvia,Sudden Lights,Aija,English,Rock,Male,1,A Minor,160,55,56,40,8 dB,5,0,8,7,
2023,Portugal,Mimicat,Ai coraçăo,Portuguese,Pop,Female,1,Fs Minor,145,63,66,77,8 dB,31,0,16,5,23
2023,Ireland,Wild Youth,We Are One,English,Rock,Male,1,D Major,112,66,47,12,7 dB,6,0,9,3,
2023,Croatia,Let 3,Mama ŠC!,Croatian,Pop,Male,1,C Major,135,78,60,63,7 dB,16,0,21,9,13
2023,Switzerland,Remo Forrer,Watergun,English,Ballad,Male,1,Ab Minor,130,87,68,39,5 dB,48,0,18,7,20
2023,Israel,Noa Kirel,Unicorn,English,Pop,Female,1,Fs Minor,130,87,68,28,5 dB,2,0,32,10,3
2023,Moldova,Pasha Parfeni,Soarele si luna,Romanian,Traditional,Male,1,Ab Major,125,86,62,34,5 dB,36,0,18,14,18
2023,Sweden,Loreen,Tattoo,English,Pop,Female,1,Eb Minor,150,78,55,30,6 dB,24,0,12,8,1
2023,Azerbaijan,TuralTuranX,Tell Me More,English,Pop,Male,2,D Major,96,75,71,42,8 dB,2,0,29,4,
2023,Czech Republic,Vesna,My Sister's Crown,"English, Ukrainian, Czech, Bulgarian",Pop,Female,6,E Minor,150,92,55,51,6 dB,5,0,37,16,10
2023,Netherlands,Mia Nicolai and Dion Cooper,Burning Daylight,English,Ballad,Mix,2,Eb Major,71,43,28,29,9 dB,58,0,11,4,
2023,Finland,Käärijä,Cha Cha Cha,Finnish,Pop,Male,1,D Major,155,79,72,74,6 dB,0,0,11,4,2
2023,Denmark,Reiley,Breaking My Heart,English,Pop,Male,1,D Major,194,75,59,57,5 dB,5,0,10,36,
2023,Armenia,Brunette,Future Lover,"English, Armenian",Ballad,Female,1,D Minor,103,44,56,24,11 dB,89,0,10,4,14
2023,Romania,Theodor Andrei,D.G.T. (Off and On),"Romanian, English",Pop,Male,1,A Minor,110,75,68,84,6 dB,22,0,25,3,
2023,Estonia,Alika,Bridges,English,Ballad,Female,1,C Minor,140,47,59,33,5 dB,84,0,14,3,8
2023,Belgium,Gustaph,Because of You,English,Pop,Male,1,C Minor,127,91,74,7,6 dB,0,82,10,4,7
2023,Cyprus,Andrew Lambrou,Break a Broken Heart,English,Ballad,Male,1,Eb Minor,130,74,43,43,4 dB,6,0,19,4,12
2023,Iceland,Diljá,Power,English,Pop,Female,1,F Minor,160,73,41,27,5 dB,1,0,20,5,
2023,Greece,Victor Vernicos,What They Say,English,Pop,Male,1,C Major,154,55,40,27,6 dB,31,0,28,11,
2023,Poland,Blanka,Solo,English,Pop,Female,1,B Minor,99,64,90,72,7 dB,18,0,12,4,19
2023,Slovenia,Joker Out,Carpe Diem,Slovene,Rock,Male,1,Cs Minor,132,66,69,56,9 dB,1,0,10,4,21
2023,Georgia,Iru,Echo,English,Ballad,Female,1,G Minor,145,91,59,37,4 dB,11,2,30,14,
2023,San Marino,Piqued Jacks,Like an Animal,English,Rock,Male,1,C Major,128,79,54,64,6 dB,0,0,21,4,
2023,Austria,Teya and Salena,Who the Hell Is Edgar?,English,Pop,Female,2,B Minor,146,64,69,51,8 dB,2,0,10,6,15
2023,Albania,Albina and Familja Kelmendi,Duje,Albanian,Traditional,Female,1,D Minor,110,80,64,43,6 dB,5,0,13,19,22
2023,Lithuania,Monika Linkyte,Stay,English,Ballad,Female,1,B Major,98,55,40,18,7 dB,3,0,8,4,11
2023,Australia,Voyager,Promise,English,Rock,Male,1,C Major,122,70,62,33,8 dB,0,0,10,7,9
2023,France,La Zarra,Évidemment,French,Ballad,Female,1,B Major,120,75,73,23,5 dB,12,0,8,7,16
